	corpus	htid	author	title	pub_date	genre	gender	white	origin_area	origin_nation	pub_code	imprint
0	Foreign	mdp.39015011592964		Women in Modern India: Fifteen Papers by Indian writers	1929.0	Nonfiction-Other	Female	Nonwhite	South Asia	India		Bombay
12	Foreign	hvd.hne6n5	Ali, Mohomed Duse	In the Land of the Pharaohs: A Short History from the Fall of Ismail to the Assassination of Boutros Pasha	1911.0	History	Male	Nonwhite	North Africa	Egypt		
16	Foreign	uc1.b3796895	Ali, Ahmed	Twilight in Delhi	1940.0	Fiction-Novel	Male	Nonwhite	South Asia	India		
26	Foreign	mdp.39015010527060	Anand, Mulk Raj	The Hindu View of Art	1933.0	Nonfiction-Other	Male	Nonwhite	South Asia	India		
27	Foreign	mdp.39015036615006	Anand, Mulk Raj	The Golden Breath: Studies in Five Poets of the New India	1933.0	Nonfiction-Other	Male	Nonwhite	South Asia	India		
28	Foreign	mdp.39015059721319	Anand, Mulk Raj	Lament of the Death of a Master of Arts	1934.0	Fiction-Novel	Male	Nonwhite	South Asia	India		
29	Foreign	uc1.b3151819	Anand, Mulk Raj	The Lost Child and Other Stories	1934.0	Fiction-Stories	Male	Nonwhite	South Asia	India		
30	Foreign	mdp.39015030945961	Anand, Mulk Raj	Apology for Heroism	1934.0	Nonfiction-Other	Male	Nonwhite	South Asia	India		
31	Foreign	uc1.32106006456773	Anand, Mulk Raj	Untouchable	1935.0	Fiction-Novel	Male	Nonwhite	South Asia	India		
32	Foreign	mdp.39015068038887	Anand, Mulk Raj	The Coolie	1936.0	Fiction-Novel	Male	Nonwhite	South Asia	India		
33	Foreign	uc1.b3445384	Anand, Mulk Raj	Two Leaves and a Bud	1937.0	Fiction-Novel	Male	Nonwhite	South Asia	India		
34	Foreign	inu.30000094822297	Anand, Mulk Raj	The Village	1939.0	Fiction-Novel	Male	Nonwhite	South Asia	India		
35	Foreign	mdp.39015016466628	Anand, Mulk Raj	Across the Black Waters	1940.0	Fiction-Novel	Male	Nonwhite	South Asia	India		
48	Foreign	uc1.$b685948	Azikiwe, Benjamin Nnamdi	Renascent Africa	1937.0	Nonfiction-Other	Male	Nonwhite	North Africa	Nigeria		Accra
51	Foreign	umn.31951p00825694z	Baijnath, Lala	England and India: Being Impressions of Persons and Things, English and Indian, and Brief Notes of Visits to France, Switzerland, Italy, and Ceylon	1893.0	Travelogue/Guidebook	Male	Nonwhite	South Asia	India		
61	Foreign	pst.000015732255	Bliss, Eliot	Saraband	1931.0	Fiction-Novel	Female	White	Caribbean	Jamaica		
68	Foreign	emu.010000426913	Blyden, Edward Wilmott	Christianity, Islam and the Negro Race	1887.0	Nonfiction-Other	Male	Nonwhite	Caribbean			London
75	Foreign	mdp.39015032212451	Blyden, E. W.	African Life and Customs	1908.0	Nonfiction-Other	Male	Nonwhite	Caribbean	        		London
79	Foreign	mdp.39015004067941	Brookes, Edgar	The History of Native Policy in South Africa from 1830 to the Present Day	1927.0	History	Male	White	Britain	England		Pretoria
80	Foreign	uc1.b3425248	Brookes, Edgar	The Colour Problems of South Africa	1934.0	History	Male	White	Britain	England		Lovedale
93	Foreign	inu.39000000873807	Campbell, Roy	Wyndham Lewis	1932.0	Nonfiction-Other	Male	White	Sub-Saharan Africa	South Africa		
94	Foreign	uc1.$b74655	Campbell, Roy	Taurine Provence	1932.0	Nonfiction-Other	Male	White	Sub-Saharan Africa	South Africa		
98	Foreign	mdp.49015000716622	Campbell, Roy	Broken Record	1934.0	Autobiography/Memoir	Male	White	Sub-Saharan Africa	South Africa		
105	Foreign	uc1.$b784244	Casely Hayford, J. E. 	Ethiopia Unbound. Studies in Race Emancipation	1911.0	Fiction-Novel	Male	Nonwhite	Sub-Saharan Africa	West Africa		London
106	Foreign	aeu.ark:/13960/t52f8xj71	Charlton, Lewis	The Life of Lewis Charlton: A poor Old Slave, who, for Twenty-Eight Years, Suffered in American Bondage	1885.0	Autobiography/Memoir	Male	Nonwhite	North America	US		
115	Foreign	pst.000005854240	Constantine , Learie	Cricket and I	1933.0	Autobiography/Memoir	Male	Nonwhite	Caribbean	Trinidad		London
123	Foreign	mdp.39015022637857	de Kiewiet, Cornelis	Imperial Factor in South Africa	1937.0	Nonfiction-Other	Male	White	Sub-Saharan Africa	South Africa		London
129	Foreign	uc1.32106014733312	Dover, Cedric	Half-Caste	1937.0	Fiction-Unspecified	Male	Nonwhite	South Asia	India		London
130	Foreign	uc1.32106001072179	Dover, Cedric	Know this of Race	1939.0	Fiction-Unspecified	Male	Nonwhite	South Asia	India		London
135	Foreign	coo.31924013600964	Duncan, Sara Jeannette	A Social Departure. Vol. 1	1890.0	Fiction-Novel	Female	White	North America	Canada		London
136	Foreign	coo.31924064992195	Duncan, Sara Jeannette	A Social Departure. Vol. 2	1890.0	Fiction-Novel	Female	White	North America	Canada		London
137	Foreign	mdp.39015063546942	Duncan, Sara Jeannette	An American Girl in London	1891.0	Fiction-Novel	Female	White	North America	Canada		London
138	Foreign	coo.31924013600949	Duncan, Sara Jeannette	Cousin Cinderella	1908.0	Fiction-Novel	Female	White	North America	Canada		London
140	Foreign	mdp.39015027902074	Dutt, Romesh Chunder	Three years in Europe	1890.0	Travelogue/Guidebook	Male	Nonwhite	South Asia	India		Calcutta
149	Foreign	mdp.39015014173903	Frankel, Sally	Capital Investment in Africa	1938.0	Nonfiction-Other	Male	White	Sub-Saharan Africa	South Africa		London
155	Foreign	wu.89051887792	Gaunt, Mary	Alone in West Africa	1911.0	Fiction-Novel	Female	White	Australasia	Australia		London
156	Foreign	mdp.39015031895140	Gee, Bhagvat Sinh	Journal of a Visit to England	1886.0	Travelogue/Guidebook	Male	Nonwhite	South Asia	India		Bombay
158	Foreign	uc1.b4097214	Ghose, Sudhindra Nath	Rossetti and Contemporary Criticism	1928.0	Nonfiction-Other	Male	Nonwhite	South Asia	India		
169	Foreign	umn.31951002324124q	Haldar, Rakhal Das	The English Diary of an Indian Student, 1861-62	1903.0	Autobiography/Memoir	Male	Nonwhite	South Asia	India		Dacca
180	Foreign	mdp.49015001263525	Huxley, Elspeth	White Man's Country: Lord Delamere and the Making of Kenya. Vol. 1	1935.0	Nonfiction-Other	Female	White	Britain	England		London
185	Foreign	uc1.31158000200815	Jabavu, Davidson Don Tengo	The Black Problem	1920.0	Nonfiction-Other	Male	Nonwhite	Sub-Saharan Africa	South Africa		Lovedale
186	Foreign	uc1.32106011345458	James, C.L.R. [Cyril Lionel Robert]	Minty Alley	1936.0	Fiction-Novel	Male	Nonwhite	Caribbean	Trinidad		
187	Foreign	uc1.32106010776851	James, C.L.R. [Cyril Lionel Robert]	World Revolution	1937.0	History	Male	Nonwhite	Caribbean	Trinidad		
188	Foreign	mdp.39015039902815	James, C.L.R. [Cyril Lionel Robert]	A History of the Pan African Revolt	1938.0	History	Male	Nonwhite	Caribbean	Trinidad		
189	Foreign	mdp.39015074201115	James, C.L.R. [Cyril Lionel Robert]	The Black Jacobins: Toussaint L'Ouverture and the San Domingo Revolution	1938.0	Nonfiction-Other	Male	Nonwhite	Caribbean	Trinidad		
206	Foreign	wu.89064355217	Karaka, Dosabhai Framji	History of the Parsis	1884.0	Nonfiction-Other		Nonwhite	South Asia	India		
210	Foreign	uc1.$b249447	Karve, Dhondo Keshav	Looking Back	1936.0	Autobiography/Memoir	Male	Nonwhite	South Asia	India		Poona
213	Foreign	uc1.32106006339839	Kenyatta, Jomo	Facing Mount Kenya	1938.0	Nonfiction-Other	Male	Nonwhite	Sub-Saharan Africa	Kenya		London
222	Foreign	nnc1.cu56087179	Loram, Charles Templeman	The Education of the South African Native	1917.0	Nonfiction-Other	Male	White	Sub-Saharan Africa	South Africa		London
228	Foreign	uc1.l0063766208	Malabari, Behramji M.	Infant Marriage and Enforced Widowhood in India: Being a Collection of Opinions for and Against Received by B.M. Malabari from Representative Hindu Gentlemen and Officials and Other Authorities	1887.0	Nonfiction-Other	Male	Nonwhite	South Asia	India		
230	Foreign	hvd.32044010396745	Malabari, Behramji M.	The Indian Eye on English Life; or, Rambles of a Pilgrim Reformer	1895.0	Travelogue/Guidebook	Male	Nonwhite	South Asia	India		
231	Foreign	uc1.32106017269538	Marais, Johannes Stephanus	The Cape Coloured People	1939.0	Nonfiction-Other	Male	Nonwhite	Sub-Saharan Africa	South Africa		Johannesburg
233	Foreign	uc2.ark:/13960/t6ww79d07	Markino, Yoshio	A Japanese Artist in London	1910.0	Nonfiction-Other	Male	Nonwhite	East Asia	Japan		London
234	Foreign	nyp.33433082436209	Markino, Yoshio	When I Was a Child	1912.0	Autobiography/Memoir	Male	Nonwhite	East Asia	Japan		
235	Foreign	uc2.ark:/13960/t9q242h30	Markino, Yoshio	My Idealed John Bullesses	1912.0	Nonfiction-Other	Male	Nonwhite	East Asia	Japan		London
236	Foreign	wu.89096965546	Markino, Yoshio	The Charm of London	1912.0	Travelogue/Guidebook	Male	Nonwhite	East Asia	Japan		
237	Foreign	uc1.$b360063	Markino, Yoshio	My Recollections and Reflections	1913.0	Autobiography/Memoir	Male	Nonwhite	East Asia	Japan		
279	Foreign	mdp.39015019184947	Mukharji, T.N.	A Visit to Europe	1889.0	Travelogue/Guidebook	Male	Nonwhite	South Asia	India		
287	Foreign	mdp.39015028774563	Nehru, S.K.	Our Cause: A Symposium by Indian Women	1936.0	Nonfiction-Other	Female	Nonwhite	South Asia	India		Allahabad
289	Foreign	mdp.39015049429494	Nyabongo, Hosea Akiki	Africa answers back [a novel]	1936.0	Fiction-Novel	Male	Nonwhite	Sub-Saharan Africa	Toro (Uganda)		London
293	Foreign	umn.31951002376861o	Omoniyi, Bandele	A Defence of the Ethiopian Movement	1908.0	Nonfiction-Other	Male	Nonwhite	Sub-Saharan Africa	Nigeria		Edinburgh
298	Foreign	uc1.$b22927	Padmore, George	How Britain Rules Africa	1936.0	Nonfiction-Other	Male	Nonwhite	Caribbean	Trinidad		London
309	Foreign	pst.000024403177	Pennell, Alice M. Sorabji	Pennell of the Afghan Frontier, the Life of Theodore Leighton Pennell	1914.0	Nonfiction-Other	Female	Nonwhite	South Asia	India		
310	Foreign	uc2.ark:/13960/t06w97p97	Pennell, Alice M. Sorabji	A Hero of the Afghan Frontier: The Splendid Life Story of T.:. Pennell	1915.0	Nonfiction-Other	Female	Nonwhite	South Asia	India		
315	Foreign	mdp.39015018510142	Plaatje, Sol	Mafeking Diary: A Black Man's Views of a White Man's War	1901.0	Autobiography/Memoir	Male	Nonwhite	Sub-Saharan Africa	South Africa		?
317	Foreign	emu.010001216005	Plaatje, Sol	Native Life in South Africa	1922.0	Autobiography/Memoir	Male	Nonwhite	Sub-Saharan Africa	South Africa		?
318	Foreign	inu.39000001852784	Plomer, William	Turbott Wolfe	1925.0	Fiction-Novel	Male	White	Sub-Saharan Africa	South Africa		
321	Foreign	mdp.39015000547128	Plomer, William	Paper Houses	1929.0	Fiction-Stories	Male	White	Sub-Saharan Africa	South Africa		
323	Foreign	mdp.39015022022845	Plomer, William	Sado	1931.0	Fiction-Novel	Male	White	Sub-Saharan Africa	South Africa		
324	Foreign	mdp.39015063933793	Plomer, William	The Case is Altered	1932.0	Fiction-Novel	Male	White	Sub-Saharan Africa	South Africa		
327	Foreign	mdp.39015026635014	Plomer, William	Cecil Rhodes	1933.0	Nonfiction-Other	Male	White	Sub-Saharan Africa	South Africa		
329	Foreign	uc1.$b70427	Plomer, William	Ali the Lion	1936.0	Nonfiction-Other	Male	White	Sub-Saharan Africa	South Africa		
337	Foreign	hvd.32044014170609	Ramabai, Pandita	The High-Caste Hindu Woman	1884.0	Nonfiction-Other	Female	Nonwhite	South Asia	India		New Dehli
340	Foreign	mdp.39015002343237	Rattray, Robert Sutherland	Ashanti Laws and Constitutions	1929.0	Nonfiction-Other	Male	White	South Asia	India		Oxford
341	Foreign	mdp.39015027891962	Reitz, Deneys	Commando	1938.0	Autobiography/Memoir	Male	White	Sub-Saharan Africa	South Africa		London
345	Foreign	mdp.39076005048728	Rhys, Jean	The Left Bank and Other Stories	1927.0	Fiction-Stories	Female	White	Caribbean	Dominica		
347	Foreign	uc1.$b312377	Rhys, Jean	After Leaving Mr. Mackenzie	1931.0	Fiction-Novel	Female	White	Caribbean	Dominica		
348	Foreign	mdp.49015001000182	Rhys, Jean	Voyage in the Dark	1934.0	Fiction-Novel	Female	White	Caribbean	Dominica		
349	Foreign	umn.31951002184702q	Rhys, Jean	Good Morning, Midnight	1939.0	Fiction-Novel	Female	White	Caribbean	Dominica		
359	Foreign	mdp.39015031616306	Scholes, Theophilus Edward Samuel	The British Empire and Alliances: Britain's Duty to Her Colonies and Subject Races	1899.0	Nonfiction-Other	Male	Nonwhite	Caribbean	Jamaica		
361	Foreign	uc2.ark:/13960/t9q23vn3x	Scholes, Theophilus Edward Samuel	Glimpses of the Ages; or, The 'Superior' and 'Inferior' Races, So-Called, Discussed in the Light of Science and History	1905.0	Nonfiction-Other	Male	Nonwhite	Caribbean	Jamaica		
362	Foreign	mdp.49015001441162	Schreiner, Olive	The Story of an African Farm	1883.0	Fiction-Novel	Female	White	Sub-Saharan Africa	South Africa		
363	Foreign	hvd.32044010310746	Schreiner, Olive	The Political Situation	1896.0	Nonfiction-Other	Female	White	Sub-Saharan Africa	South Africa		
365	Foreign	hvd.32044011834181	Schreiner, Olive	Trooper Peter Halket of Mashonaland	1897.0	Nonfiction-Other	Female	White	Sub-Saharan Africa	South Africa		
366	Foreign	mdp.39015058536718	Schreiner, Olive	An English South African's Views of Situation	1899.0	Nonfiction-Other	Female	White	Sub-Saharan Africa	South Africa		
367	Foreign	iau.31858044668360	Schreiner, Olive	Woman and Labour	1911.0	Nonfiction-Other	Female	White	Sub-Saharan Africa	South Africa		
368	Foreign	mdp.39015022181203	Schreiner, Olive	Stories, Dreams and Allegories	1923.0	Fiction-Stories	Female	White	Sub-Saharan Africa	South Africa		
369	Foreign	uc1.$b58327	Schreiner, Olive	Thoughts on South Africa	1923.0	Nonfiction-Other	Female	White	Sub-Saharan Africa	South Africa		
370	Foreign	uc1.32106013941288	Schreiner, Olive	From Man to Man	1926.0	Fiction-Novel	Female	White	Sub-Saharan Africa	South Africa		
371	Foreign	mdp.39015002719428	Schreiner, Olive	Undine	1929.0	Fiction-Novel	Female	White	Sub-Saharan Africa	South Africa		
376	Foreign	mdp.39015009198949	Shiel, Matthew Phipps	Shapes in the Fire	1896.0	Fiction-Stories	Male	Nonwhite	Caribbean	Barbados or Montserrat		New York
377	Foreign	uc1.$b244810	Shiel, Matthew Phipps	The Yellow Danger	1898.0	Fiction-Novel	Male	Nonwhite	Caribbean	Barbados or Montserrat		London
378	Foreign	mdp.39015037377713	Shiel, Matthew Phipps	The Lord of the Sea	1901.0	Fiction-Novel	Male	Nonwhite	Caribbean	Barbados or Montserrat		London
379	Foreign	pst.000029610099	Shiel, Matthew Phipps	Purple Cloud	1901.0	Fiction-Novel	Male	Nonwhite	Caribbean	Barbados or Montserrat		London
380	Foreign	wu.89006939045	Shiel, Matthew Phipps	Unto the Third Generation	1903.0	Fiction-Novel	Male	Nonwhite	Caribbean	Barbados or Montserrat		London
381	Foreign	hvd.hn1jcm	Shiel, Matthew Phipps	The Yellow Wave	1905.0	Fiction-Novel	Male	Nonwhite	Caribbean	Barbados or Montserrat		London
382	Foreign	hvd.hnt4ib	Shiel, Matthew Phipps	The Lost Viol	1905.0	Fiction-Novel	Male	Nonwhite	Caribbean	Barbados or Montserrat		New York
383	Foreign	uiug.30112042037967	Shiel, Matthew Phipps	The White Wedding	1908.0	Fiction-Novel	Male	Nonwhite	Caribbean	Barbados or Montserrat		London
384	Foreign	uiug.30112002739024	Shiel, Matthew Phipps	The Isle of Lies	1909.0	Fiction-Novel	Male	Nonwhite	Caribbean	Barbados or Montserrat		London
385	Foreign	uiug.30112042037769	Shiel, Matthew Phipps	The Dragon	1913.0	Fiction-Novel	Male	Nonwhite	Caribbean	Barbados or Montserrat		London
386	Foreign	uc1.$b244803	Shiel, Matthew Phipps	Cold Steel	1929.0	Fiction-Novel	Male	Nonwhite	Caribbean	Barbados or Montserrat		New York
387	Foreign	uiug.30112042037710	Shiel, Matthew Phipps	The Last Miracle	1929.0	Fiction-Novel	Male	Nonwhite	Caribbean	Barbados or Montserrat		London
389	Foreign	mdp.39015003980987	Smuts, Jan	Africa and Some World Problems	1930.0	Nonfiction-Other	Male	White	Sub-Saharan Africa	South Africa		Oxford
391	Foreign	mdp.39015056819975	Sorabji, Cornelia	Love and Life Behind the Purdah	1901.0	Fiction-Stories	Female	Nonwhite	South Asia	India		
396	Foreign	uc1.$b52151	Sorabji, Cornelia	India Calling: The Memories of Cornelia Sorabji	1934.0	Autobiography/Memoir	Female	Nonwhite	South Asia	India		
398	Foreign	mdp.39015017659155	Sorabji, Cornelia	India Recalled	1936.0	Autobiography/Memoir	Female	Nonwhite	South Asia	India		
401	Foreign	uc1.b5015162	Stead, Christina	Seven Poor Men of Sydney	1934.0	Fiction-Novel	Female	White	Australasia	Australia		
402	Foreign	mdp.39015024876685	Stead, Christina	The Salzburg Tales	1934.0	Fiction-Stories	Female	White	Australasia	Australia		
404	Foreign	mdp.39015066681241	Stead, Christina	House of All Nations	1938.0	Fiction-Novel	Female	White	Australasia	Australia		
405	Foreign	mdp.39015004662188	Stead, Christina	The Man Who Loved Children	1940.0	Fiction-Novel	Female	White	Australasia	Australia		
424	Foreign	uc1.32106015187153	Tagore, Rabindranath	Gora	1914.0	Fiction-Novel	Male	Nonwhite	South Asia	India		
426	Foreign	mdp.39015030386992	Tagore, Rabindranath	Hungry Stones and Other Stories	1916.0	Fiction-Stories	Male	Nonwhite	South Asia	India		
429	Foreign	loc.ark:/13960/t09w0x64b	Tagore, Rabindranath	My Reminiscences	1917.0	Autobiography/Memoir	Male	Nonwhite	South Asia	India		
432	Foreign	mdp.39015046336791	Tagore, Rabindranath	Personality: lectures given in America	1917.0	Nonfiction-Other	Male	Nonwhite	South Asia	India		
433	Foreign	uc2.ark:/13960/t6930rd8m	Tagore, Rabindranath	Nationalism	1917.0	Nonfiction-Other	Male	Nonwhite	South Asia	India		
435	Foreign	mdp.39015011590661	Tagore, Rabindranath	Stories from Tagore	1918.0	Fiction-Stories	Male	Nonwhite	South Asia	India		
436	Foreign	uc2.ark:/13960/t1kh0h31j	Tagore, Rabindranath	Mashi and Other Stories	1918.0	Fiction-Stories	Male	Nonwhite	South Asia	India		
438	Foreign	mdp.39015055590288	Tagore, Rabindranath	The Home and the World	1919.0	Fiction-Novel	Male	Nonwhite	South Asia	India		
439	Foreign	mdp.39015011590653	Tagore, Rabindranath	The Runaway	1921.0	Fiction-Novel	Male	Nonwhite	South Asia	India		
440	Foreign	uc2.ark:/13960/t1hh6fb5f	Tagore, Rabindranath	The Wreck	1921.0	Fiction-Novel	Male	Nonwhite	South Asia	India		
442	Foreign	hvd.32044055075121	Tagore, Rabindranath	The Centre of Indian Culture	1921.0	Nonfiction-Other	Male	Nonwhite	South Asia	India		
443	Foreign	loc.ark:/13960/t8df7841f	Tagore, Rabindranath	Thought Relics	1921.0	Nonfiction-Other	Male	Nonwhite	South Asia	India		
446	Foreign	hvd.32044014343792	Tagore, Rabindranath	Creative Unity	1922.0	Nonfiction-Other	Male	Nonwhite	South Asia	India		
451	Foreign	mdp.39015024648019	Tagore, Rabindranath	Broken Ties: and Other Stories	1925.0	Fiction-Stories	Male	Nonwhite	South Asia	India		
456	Foreign	mdp.39076005331504	Tagore, Rabindranath	the Religion of Man	1931.0	Nonfiction-Other	Male	Nonwhite	South Asia	India		
462	Foreign	uc1.$b285962	Tagore, Rabindranath	Man: Lectures delivered at the Andhra University under the terms of the Sir Alladi Krishnaswamy endowment)	1937.0	Nonfiction-Other	Male	Nonwhite	South Asia	India		
463	Foreign	mdp.39076006815158	Tagore, Rabindranath	Binodini	1939.0	Fiction-Novel	Male	Nonwhite	South Asia	India		
464	Foreign	mdp.39015070113876	Tagore, Rabindranath	My Boyhood Days	1940.0	Autobiography/Memoir	Male	Nonwhite	South Asia	India		
471	Foreign	mdp.39015030715141	Van Der Post, Laurens	In a Province	1934.0	Fiction-Novel	Male	White	Sub-Saharan Africa	South Africa		
472	Foreign	mdp.39015002680661	Walrond, Eric	Tropic Death	1926.0	Fiction-Novel	Male	Nonwhite	Caribbean	Guyana		New York
477	Prominent	mdp.39015009375976	Aldington, Richard	Death of a Hero	1929.0	Fiction-Novel	Male	white	Britain	England		
478	Prominent	mdp.39015000017742	Aldington, Richard	Road to Glory	1930.0	Fiction-Stories	Male	white	Britain	England		
479	Prominent	uc1.b4098055	Aldington, Richard	The Colonel's Daughter	1931.0	Fiction-Novel	Male	white	Britain	England		
480	Prominent	mdp.39015009004717	Aldington, Richard	Soft Answers 	1932.0	Fiction-Stories	Male	white	Britain	England		
481	Prominent	mdp.39015008846571	Aldington, Richard	All Men Are  Enemies	1933.0	Fiction-Novel	Male	white	Britain	England		
482	Prominent	uc1.$b56284	Aldington, Richard	Women Must Work	1934.0	Fiction-Novel	Male	white	Britain	England		
483	Prominent	uc1.b3759999	Aldington, Richard	Very Heaven	1937.0	Fiction-Novel	Male	white	Britain	England		
484	Prominent	mdp.39015009039564	Aldington, Richard	Seven Against Reeves: A Comedy Farce	1938.0	Fiction-Novel	Male	white	Britain	England		
485	Prominent	mdp.39015014579091	Aldington, Richard	Rejected Guest	1939.0	Fiction-Novel	Male	white	Britain	England		
486	Prominent	coo.31924013205749	Allen, Grant	The Woman Who Did	1895.0	Fiction-Novel	Male	white	Other	Canada		
487	Prominent	hvd.32044020572954	Allen, Grant	The British Barbarians	1895.0	Fiction-Novel	Male	white	Other	Canada		
488	Prominent	uiug.30112037331284	Allen, Grant	An African Millionaire	1897.0	Fiction-Novel	Male	white	Other	Canada		
489	Prominent	hvd.hn1ndc	Allen, Grant	Miss Cayley's Adventures	1899.0	Fiction-Novel	Male	white	Other	Canada		
490	Prominent	nyp.33433074946256	Allen, Grant	Hilda Wade	1900.0	Fiction-Novel	Male	white	Other	Canada		
492	Prominent	uc1.a0001378843	Anstey, F.	Vice Versa	1882.0	Fiction-Novel	Male	white	Britain	England		
495	Prominent	uc2.ark:/13960/t3xs5n992	Ashford, Daisy	The Young Visiters	1919.0	Fiction-Novel	Female	white	Britain	England		
505	Prominent	uc1.b4097966	Bagnold, Enid	National Velvet	1935.0	Fiction-Novel	Female	white	Britain	England		
506	Prominent	mdp.39015001130619	Barrie, J. M.	Auld Licht Idylls	1888.0	Fiction-Novel	Male	white	Britain	Scotland		
507	Prominent	hvd.32044010105435	Barrie, J. M.	Peter Pan in Kensington Gardens	1906.0	Fiction-Novel	Male	white	Britain	Scotland		
511	Prominent	uc1.32106006269275	Beckett, Samuel	More Pricks than Kicks	1933.0	Fiction-Stories	Male	white	Ireland	Ireland		
513	Prominent	umn.31951p001743923	Beckett, Samuel	Murphy	1938.0	Fiction-Novel	Male	white	Ireland	Ireland		
515	Prominent	mdp.39015009048433	Beerbohm, Max	Works of Max Beerbohm	1896.0	Fiction-Unspecified	Male	white	Britain	England		
516	Prominent	uc1.b4089521	Beerbohm, Max	The Happy Hypocrite: A Fairy Tale for Tired Men	1897.0	Fiction-Stories	Male	white	Britain	England		
518	Prominent	uc2.ark:/13960/t10p12n34	Beerbohm, Max	Zuleika Dobson; or an Oxford Love Story	1911.0	Fiction-Novel	Male	white	Britain	England		
519	Prominent	dul1.ark:/13960/t5p855w55	Beerbohm, Max	Seven Men	1919.0	Fiction-Stories	Male	white	Britain	England		
520	Prominent	uc1.b4064067	Beerbohm, Max	The Dreadful Dragon of Hay Hill	1928.0	Fiction-Stories	Male	white	Britain	England		
521	Prominent	coo.31924013586882	Bennett, Arnold	A Man From the North	1898.0	Fiction-Stories	Male	white	Britain	England		
523	Prominent	mdp.39015011356758	Bennett, Arnold	The Grand Babylon Hotel: A Fantasia on Modern Themes	1902.0	Fiction-Novel	Male	white	Britain	England		
524	Prominent	pst.000056831450	Bennett, Arnold	Anna of the Five Towns: A Novel	1902.0	Fiction-Novel	Male	white	Britain	England		
525	Prominent	aeu.ark:/13960/t19k5p86c	Bennett, Arnold	Leonora: A Novel	1903.0	Fiction-Novel	Male	white	Britain	England		
526	Prominent	aeu.ark:/13960/t3pv7sg8r	Bennett, Arnold	The Gates of Wrath: A Melodrama	1903.0	Fiction-Novel	Male	white	Britain	England		
529	Prominent	mdp.39015031225116	Bennett, Arnold	Teresa of Watling Street: A Fantasia on Modern Themes	1904.0	Fiction-Novel	Male	white	Britain	England		
530	Prominent	uc1.b3796887	Bennett, Arnold	A Great Man: A Frolic	1904.0	Fiction-Novel	Male	white	Britain	England		
531	Prominent	iau.31858005598952	Bennett, Arnold	The Loot of Cities: Being the Adventures of a Millionaire in Search of Joy (A Fantasia)	1905.0	Fiction-Stories	Male	white	Britain	England		
532	Prominent	pst.000045760310	Bennett, Arnold	Tales of the Five Towns	1905.0	Fiction-Stories	Male	white	Britain	England		
533	Prominent	coo.31924013536119	Bennett, Arnold	The Sinews of War: A Romance of London and the Sea	1906.0	Fiction-Novel	Male	white	Britain	England		
534	Prominent	nyp.33433074926431	Bennett, Arnold	Hugo: A Fantasia on Modern Themes	1906.0	Fiction-Novel	Male	white	Britain	England		
535	Prominent	uc1.b3811090	Bennett, Arnold	Whom God Hath Joined	1906.0	Fiction-Novel	Male	white	Britain	England		
536	Prominent	aeu.ark:/13960/t12n7s247	Bennett, Arnold	The Ghost: A Fantasia on Modern Themes	1907.0	Fiction-Novel	Male	white	Britain	England		
537	Prominent	coo.31924013586569	Bennett, Arnold	The City of Pleasure: A Fantasia on Modern Themes	1907.0	Fiction-Novel	Male	white	Britain	England		
538	Prominent	uc1.b3796888	Bennett, Arnold	The Grim Smile of the Five Towns	1907.0	Fiction-Novel	Male	white	Britain	England		
539	Prominent	coo.31924013536150	Bennett, Arnold	The Statue	1908.0	Fiction-Novel	Male	white	Britain	England		
540	Prominent	mdp.49015000914540	Bennett, Arnold	Buried Alive: A Tale of These Days	1908.0	Fiction-Novel	Male	white	Britain	England		
541	Prominent	uc1.$b85948	Bennett, Arnold	The Old Wives' Tale	1908.0	Fiction-Novel	Male	white	Britain	England		
542	Prominent	aeu.ark:/13960/t9k373624	Bennett, Arnold	The Glimpse: An Adventure of the Soul	1909.0	Fiction-Novel	Male	white	Britain	England		
544	Prominent	coo.31924013586585	Bennett, Arnold	Clayhanger	1910.0	Fiction-Novel	Male	white	Britain	England		
545	Prominent	uc1.b3796889	Bennett, Arnold	Helen with the High Hand: An Idyllic Diversion	1910.0	Fiction-Novel	Male	white	Britain	England		
546	Prominent	coo.31924013586551	Bennett, Arnold	The Card: A Story of Adventure in the Five Towns	1911.0	Fiction-Novel	Male	white	Britain	England		
547	Prominent	hvd.hwijhj	Bennett, Arnold	Hilda Lessways	1911.0	Fiction-Novel	Male	white	Britain	England		
548	Prominent	uc2.ark:/13960/t6057wc8c	Bennett, Arnold	The Matador of the Five Towns, and Other Stories	1912.0	Fiction-Stories	Male	white	Britain	England		
549	Prominent	uc2.ark:/13960/t88g8mj8t	Bennett, Arnold	The Regent: A Five Towns Story of Adventure in London	1913.0	Fiction-Novel	Male	white	Britain	England		
550	Prominent	osu.32435018323915	Bennett, Arnold	The Price of Love: A Tale	1914.0	Fiction-Novel	Male	white	Britain	England		
551	Prominent	nyp.33433074926589	Bennett, Arnold	These Twain	1915.0	Fiction-Novel	Male	white	Britain	England		
552	Prominent	uiug.30112041393841	Bennett, Arnold	The Lion's Share	1916.0	Fiction-Novel	Male	white	Britain	England		
553	Prominent	coo1.ark:/13960/t0ht35x8w	Bennett, Arnold	The Roll-Call	1918.0	Fiction-Novel	Male	white	Britain	England		
554	Prominent	coo1.ark:/13960/t6zw21192	Bennett, Arnold	The Pretty Lady: A Novel	1918.0	Fiction-Novel	Male	white	Britain	England		
